ISBN,Author(s)
9780307785084,W. Somerset Maugham
9783856309008,Siegmund Hurwitz
,Glen Norman Montz
,Patrick Reilly
,William Somerset Maugham
9781473205321,Terry Pratchett
9781517317492,Sinclair Lewis
9780866119948,Eleanor H. Porter
,Alice Walker
9781409057970,Dan Brown
9781404324336,Edith Nesbit
9786052259191,Jane Austen
9781526634054,Khaled Hosseini
9781625584083,Lady Murasaki Shikibu
9783754991930,Jane Austen
9781722525439,Baroness Orczy
9798590094356,Leigh Sayers
,Edith Nesbit
,Wilkie Collins
,Lucy Maud Montgomery
9781551112435,Wilkie Collins
9788120754348,Henry Rider Haggard
,Bram Stoker
,Jane Austen
,Isaac Asimov
9783963619496,Arthur Conan Doyle
9781446424049,Joseph Heller
9781853260438,Jane Austen
9780345803054,Truman Capote
9780191662249,Leo Tolstoy
9780671039738,Stephen King
9780743246392,F. Scott Fitzgerald
9780571248209,Sylvia Plath
,Jane Austen
,George MacDonald
,Ken Kesey
9780399529207,William Golding
,Emily Brontë
9780553149814,Agatha Christie
,George MacDonald
9780451161390,Toni Morrison
9780192838650,Mary Wollstonecraft Shelley
9781407021010,Aldous Huxley
9780192823823,Sir Arthur Conan Doyle
9781523098026,Unknown Author
9781529029734,Charles Dickens
,Oscar Wilde
,Bram Stoker
9783190001507,Ernest Hemingway
9781943133222,Lucy Maud Montgomery
9780521280419,D. H. Lawrence
,Agatha Christie
9781387021932,Kate Chopin
9781529038224,George Orwell
,Louisa May Alcott
,Horace Walpole
9781987503890,F. Scott Fitzgerald
,Charles Dickens
,Johann Wolfgang von Goethe
9781509847389,L. M. Montgomery
9780307816412,Michael Crichton
,Franz Kafka
9781722524722,Hermann Hesse
,Edith Wharton
9780873953627,"James Fenimore Cooper, James A. Sappenfield, E. N. Feltskog"
9781904633853,Leo Tolstoi
9780899662305,Arthur Conan Doyle
9781877527180,H. G. Wells
9782253053545,Isabel Allende
9789176393376,John Buchan
9788728187494,Richard Connell
9781409083948,Dan Brown
9786021637838,Edith Wharton
9788184301724,Rudyard Kipling
9783825347604,Andreas Kablitz
9780575073340,Frank Herbert
,Robert Louis Stevenson
9781528787604,E. Nesbit
9781853260919,Virginia Woolf
9788026882022,Lucy Maud Montgomery
9780786880935,Nathaniel Hawthorne
9781603034012,H. G. Wells
9780748112517,Stephenie Meyer
9780199217946,Henry James
9781625581440,F. Scott Fitzgerald
,Mark Twain
,Charles Dickens
9786155529948,Charles Dickens
,Agatha Christie
,Agatha Christie
9780307430489,Arthur Conan Doyle
9780369409157,Agatha Christie
9780451201201,Agatha Christie
9780553214321,Herbert George Wells
,D. H. Lawrence
9781407133171,Suzanne Collins
9780721450322,Hans Christian Andersen
,"T.G. Bowles, O.A. Fry"
9780689820007,Stephen Crane
9780141378503,Roald Dahl
